Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone,Longitude,Latitude
Bombus humilis,Carduus defloratus,6/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus humilis,Carduus defloratus,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus quadricolor,Carduus defloratus,7/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus quadricolor,Carduus defloratus,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Campanula rapunculoides,5/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Campanula rapunculoides,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Campanula rapunculoides,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Campanula rapunculoides,10/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Rubus fruticosus,5/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Rubus fruticosus,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Rubus fruticosus,10/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Rubus fruticosus,29/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Teucrium scorodonia,26/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Lathyrus pyrenaicus?,29/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Teucrium scorodonia,11/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Lathyrus pyrenaicus?,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Teucrium scorodonia,5/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus lapidarius,Centaurea nigra,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus lapidarius,Centaurea nigra,25/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Scabiosa columbaria,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus humilis,Satureja montana,26/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus humilis,Centaurea nigra,5/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus humilis,Centaurea nigra,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus quadricolor,Centaurea nigra,5/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Calamintha alpina,28/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Clinopodium vulgare,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Clinopodium vulgare,11/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Clinopodium vulgare,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Ballota foetida,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus hortorum,Clinopodium vulgare,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus wurflenii,Clinopodium vulgare,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Ballota foetida,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Teucrium pyrenaicum,7/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Scabiosa columbaria,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Carduus defloratus,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Thymus serpyllum,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Teucrium chamaedrys,11/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus pascuorum,Lotus corniculatus,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus sichelii,Scabiosa columbaria,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus hortorum,Cirsium lanceolatum,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus hortorum,Carduus defloratus,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus hortorum,Centaurea scabiosa,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus lapidarius,Allium lusitanicum,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus lapidarius,Verbena officinalis,28/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus lapidarius,Satureja montana,26/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus lapidarius,Crepis sp.,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus lapidarius,Trifolium repens,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus wurflenii,Trifolium pratense,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus wurflenii,Trifolium pratense,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus wurflenii,Lathyrus pyrenaicus?,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus mucidus,Brunella alba,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
